"registrační číslo","název","adresa","kraj","druh činnosti","kapacita","GPS","datum registrace"
"CZ 41C00671","Útulek města Karlovy Vary","Karlovy Vary, Dvory, 36006 Karlovy Vary 6","Karlovarský kraj","útulek pro zájmová zvířata","pes 20","50°13'49.588""N,12°49'23.397""E","01.01.2018"
"CZ 32C04451","Fousky z.s.","V Úhlu 199/16, Litice, 32100 Plzeň","Plzeňský kraj","útulek pro zájmová zvířata","kočka 20","49°41'48.822""N,13°21'18.546""E","14.04.2025"
"CZ 32C04394","Kočičí svět, z.s.","Žerovice č. p. 82, 33401 Přeštice","Plzeňský kraj","útulek pro zájmová zvířata","kočka 20","49°34'48.577""N,13°18'6.920""E","12.08.2024"
"CZ 32C04260","Záchytná stanice pro dočasné umístění psů Přeštice","V Háječku 1282, 33401 Přeštice","Plzeňský kraj","útulek pro zájmová zvířata","pes 11","49°34'36.126""N,13°20'17.174""E","08.08.2023"
"CZ 32C04068","U Františka","Borovno č. p. 67, 33561 Borovno","Plzeňský kraj","útulek pro zájmová zvířata","pes 40","49°37'17.317""N,13°41'12.939""E","29.04.2022"
"CZ 32C03685","Útulek Zakladatelů, z.s.","Lišice č. p. 46, 33401 Dolní Lukavice","Plzeňský kraj","útulek pro zájmová zvířata","kočka 25","49°36'51.916""N,13°21'18.476""E","18.04.2018"
"CZ 32C03641","Záchytné zařízení pro psy Planá","Planá č. p. 970, 34815 Planá","Plzeňský kraj","útulek pro zájmová zvířata","pes 3","49°51'37.405""N,12°44'24.326""E","23.02.2018"
"CZ 32C03630","Útulek Domažlice","Havlovice č. p. 30, 34401 Domažlice","Plzeňský kraj","útulek pro zájmová zvířata","pes 10","49°25'08.8""N,12°52'42.4""E","13.02.2018"
"CZ 32C03607","Nalezenci-Šumaváci","Lazny 79, 34201 Strašín","Plzeňský kraj","útulek pro zájmová zvířata","pes 10","49°10'25.369""N,13°38'18.312""E","12.12.2017"
"CZ 32C03584","Útulek pro psy","Cihlářská ulice, Horšovský Týn","Plzeňský kraj","útulek pro zájmová zvířata","pes 5","49°31'12.896""N,12°56'32.761""E","30.11.2017"
"CZ 32C03573","Útulek pro zvířata v nouzi","Daimlerova 1219, Skvrňany, 30100 Plzeň","Plzeňský kraj","útulek pro zájmová zvířata","pes 100, kočka 90, plazi 10, králíci a hlodavci 10, ptáci 10, fretka 5","49°43'18.403""N,13°19'51.376""E","29.12.2017"
"CZ 32C03551","Psí domov „Nora“","Studánka č. p. 228, 34701 Studánka","Plzeňský kraj","útulek pro zájmová zvířata","pes 15","49°46'30.554""N,12°36'12.733""E","08.11.2017"
"CZ 32C03393","Šance pro kočku z.s.","Hrádecká 493, Sušice II, 34201 Sušice","Plzeňský kraj","útulek pro zájmová zvířata","kočka 110","49°14'31.084""N,13°31'12.411""E","27.12.2017"
"CZ 32C02864","Gabriela Jägerová, Útulek u Šmudliny","bývalý objekt kasáren","Plzeňský kraj","útulek pro zájmová zvířata","pes 26","49°48'26.3""N,12°38'57.2""E","08.11.2017"
"CZ 32C02549","Útulek pro psy","Němčovice č. p. 43, 33824 Němčovice","Plzeňský kraj","útulek pro zájmová zvířata","pes 40","49°52'47.318""N,13°34'14.110""E","24.02.2011"
"CZ 32C00402","Útulek pro nalezené a zatoulané psy","Koldinova 530, Klatovy II, 33901 Klatovy","Plzeňský kraj","útulek pro zájmová zvířata","pes 27","49°24'39.766""N,13°16'11.985""E","28.12.2017"
"CZ 31C05350","Azyl Nová Pec","Nová Pec č. p. 86, 38462 Nová Pec","Jihočeský kraj","útulek pro zájmová zvířata","","48°45'56.420""N,13°55'57.571""E","22.12.2025"
"CZ 31C05349","Město Dačice -odchyt","Palackého nám. 31, Dačice I, 38001 Dačice","Jihočeský kraj","útulek pro zájmová zvířata","","49°4'48.914""N,15°26'16.237""E","19.12.2025"
"CZ 31C05046","Záchytné kotce města Nové Hrady","Parcela č.st. 748, 373 33 Nové Hrady","Jihočeský kraj","útulek pro zájmová zvířata","pes 3","48°47'10.7""N,14°47'39.15""E","18.11.2024"
"CZ 31C04483","„Psi pomáhají”","Drhovice č. p. 27, 39131 Drhovice","Jihočeský kraj","útulek pro zájmová zvířata","pes 30","49°25'57.992""N,14°33'35.413""E","18.10.2022"
"CZ 31C04258","Útulek pro kočky Města Milevska","Areál ČOV, Sažinská, parc.č. 2619, k.ú. Milevsko 39901","Jihočeský kraj","útulek pro zájmová zvířata","kočka 15","49°26'21.499""N,14°23'28.712""E","08.10.2021"
"CZ 31C04113","Útulek pro kočky města Písku","Velké náměstí 114/3, Vnitřní Město, 39701 Písek","Jihočeský kraj","útulek pro zájmová zvířata","kočka 40","49°18'31.615""N,14°8'50.374""E","23.03.2021"
"CZ 31C04089","Pro psí duši z.s.","Smolín č. ev. 429, 39102 Planá nad Lužnicí","Jihočeský kraj","útulek pro zájmová zvířata","pes 10, kočka 30","49°22'31.364""N,14°42'57.677""E","03.12.2020"
"CZ 31C03998","Záchytné kotce Volary","Náměstí 25, 38451 Volary","Jihočeský kraj","útulek pro zájmová zvířata","pes 3","48°54'38.026""N,13°53'32.975""E","24.07.2019"
"CZ 31C03796","Kočka v srdci z.s.","Přední Podskalí 172, 37501 Týn nad Vltavou","Jihočeský kraj","útulek pro zájmová zvířata","kočka 30, pes 8","49°13'11.425""N,14°25'36.719""E","15.02.2018"
"CZ 31C03763","Záchytné kotce Milevsko","Petrovická 176, 39901 Milevsko","Jihočeský kraj","útulek pro zájmová zvířata","pes 15","49°27'29.752""N,14°21'51.324""E","30.01.2018"
"CZ 31C03741","Záchytné kotce Prachatice","Prachatice, 38301 Prachatice","Jihočeský kraj","útulek pro zájmová zvířata","pes 15","48°59'33.293""N,14°1'29.424""E","22.01.2018"
"CZ 31C03718","Podnik města Slavonice s.r.o.","Polní 61, 37881 Slavonice","Jihočeský kraj","útulek pro zájmová zvířata","kočka 1, pes 1","49°0'0.678""N,15°21'11.819""E","15.01.2018"
"CZ 31C03707","Kočky České Budějovice, z. s.","N. Frýda 1247/4, České Budějovice 2, 37005 České Budějovice","Jihočeský kraj","útulek pro zájmová zvířata","kočka 30","48°59'7.288""N,14°26'20.757""E","09.01.2018"
"CZ 31C03695","Cibela z.s.","Na Hradbách 49, Jindřichův Hradec I, 37701 Jindřichův Hradec","Jihočeský kraj","útulek pro zájmová zvířata","ptáci 3, králíci a hlodavci 5, pes 10, kočka 50","49°8'42.980""N,15°0'6.507""E","29.12.2017"
"CZ 31C03684","Pes pro život","Lesní 394, 37007 Roudné","Jihočeský kraj","útulek pro zájmová zvířata","pes 12","48°56'6.317""N,14°28'34.406""E","29.12.2017"
"CZ 31C03673","Záchytné kotce Vimperk","Podzámčí 612, Vimperk II, 38501 Vimperk","Jihočeský kraj","útulek pro zájmová zvířata","pes 7","49°3'27.095""N,13°46'15.669""E","28.12.2017"
"CZ 31C03662","Dočasná či dlouhodobá péče LOZ Písek","Třebkov č. p. 2, 39701 Předotice","Jihočeský kraj","útulek pro zájmová zvířata","pes 20","49°21'16.869""N,14°2'58.952""E","28.12.2017"
"CZ 31C03549","Útulek pro opuštěné a zatoulané kočky","E. Rošického 2196, České Budějovice 2, 37005 České Budějovice","Jihočeský kraj","útulek pro zájmová zvířata","kočka 40","48°59'12.500""N,14°26'46.922""E","29.12.2017"
"CZ 31C03460","Depozitum Chlupnechlup","Mutěnice č. p. 17, 38601 Mutěnice","Jihočeský kraj","útulek pro zájmová zvířata","kočka 15","49°14'35.023""N,13°54'1.926""E","28.11.2017"
"CZ 31C03415","Záchytné kotce pro psy Netolice","Za Mnichem, 38773 Netolice","Jihočeský kraj","útulek pro zájmová zvířata","pes 2","49°2'43.407""N,14°11'56.338""E","19.02.2018"
"CZ 31C03213","""RAFAEL"" První dočasný domov pro týrané psy - terapie, léčení a osvěta o.p.s.","Doudleby, 37007 Doudleby","Jihočeský kraj","útulek pro zájmová zvířata, útulek pro hospodářská zvířata","pes 13","48°52'37.670""N,14°29'52.600""E","08.11.2017"
"CZ 31C03202","Město Nová Včelnice","Čechova 499, 37842 Nová Včelnice","Jihočeský kraj","útulek pro zájmová zvířata","pes 2, kočka 1","49°14'18.403""N,15°4'5.010""E","11.12.2017"
"CZ 31C03156","Technické služby města Volyně","náměstí Hrdinů 70, 38701 Volyně","Jihočeský kraj","útulek pro zájmová zvířata","pes 2, kočka 1","49°10'2.088""N,13°53'27.306""E","19.02.2018"
"CZ 31C03123","Město Kaplice","Náměstí 70, 38241 Kaplice","Jihočeský kraj","útulek pro zájmová zvířata","","48°44'20.04""N,14°29'39.57""E","01.11.2017"
"CZ 31C03101","Záchytné kotce","Lišný dvůr 143/IV, 37701 Jindřichův Hradec","Jihočeský kraj","útulek pro zájmová zvířata","pes 7","49°7'53.511""N,14°59'21.828""E","02.02.2018"
"CZ 31C02942","Dočasné záchytné zařízení Liškárna","Bohunická za sběrným dvorem Liškárna, 37501 Týn nad Vltavou","Jihočeský kraj","útulek pro zájmová zvířata","pes 4","49°13'0.760""N,14°24'42.460""E","15.02.2018"
"CZ 31C02616","Technické služby Města Nová Bystřice, s.r.o.","Tovární 727, 37833 Nová Bystřice","Jihočeský kraj","útulek pro zájmová zvířata","pes 4","49°1'2.215""N,15°6'20.097""E","15.11.2017"
"CZ 31C02593","Záchytné kotce Jungmannova","Jungmannova 20, 37810 České Velenice","Jihočeský kraj","útulek pro zájmová zvířata","pes 1","48°45'44.449""N,14°57'17.843""E","19.03.2018"
"CZ 31C02504","Animal rescue","Na Štětkách 512, 37006 Staré Hodějovice","Jihočeský kraj","útulek pro zájmová zvířata, útulek pro hospodářská zvířata","pes 15, ovce a kozy 10, kočka 15","48°56'10.599""N,14°32'19.082""E","14.11.2017"
"CZ 31C02470","Od Hejtmanské hráze","Tyršova 308, 37804 Chlum u Třeboně","Jihočeský kraj","útulek pro zájmová zvířata","pes 7","48°57'39.34""N,14°55'50.50""E","11.12.2017"
"CZ 31C01974","Záchytné kotce Třeboň","Novohradská 225, Třeboň II, 37901 Třeboň","Jihočeský kraj","útulek pro zájmová zvířata","pes 4","49°0'0.030""N,14°46'23.335""E","14.03.2018"
"CZ 31C01907","Městský útulek","Na Zlaté stoce 690/3, České Budějovice 2, 37005 České Budějovice","Jihočeský kraj","útulek pro zájmová zvířata","pes 35","48°58'30.277""N,14°27'19.301""E","08.01.2018"
"CZ 31C01895","Městská policie Bechyně","Novodvorská 301, 39165 Bechyně","Jihočeský kraj","útulek pro zájmová zvířata","","49°17'54.208""N,14°28'8.542""E","01.11.2017"
"CZ 31C01862","Útulek pro opuštěné a nalezené psy měst Strakonice a Písek","U Blatenského mostu 161, 38601 Strakonice","Jihočeský kraj","útulek pro zájmová zvířata","pes 39","49°15'51.987""N,13°55'1.273""E","15.11.2017"
"CZ 31C01851","Záchytné kotce MP Blatná","Lapač 215, 38801 Blatná","Jihočeský kraj","útulek pro zájmová zvířata","pes 4","49°24'52.246""N,13°54'8.784""E","28.11.2017"
"CZ 31C00748","Útulek Tábor pro psy a kočky","Vápenná strouha, 39005 Tábor","Jihočeský kraj","útulek pro zájmová zvířata","kočka 30, pes 30","49°23'53.982""N,14°40'51.119""E","14.11.2017"
"CZ 31C00603","Útulek pro koně COSTA s.r.o.","Těšínov č. p. 31, 37401 Petříkov","Jihočeský kraj","útulek pro zájmová zvířata","","48°52'4.783""N,14°42'45.407""E","01.11.2017"
"CZ 31C00254","Útulek města Český Krumlov","Kaplická 619, Horní Brána, 38101 Český Krumlov","Jihočeský kraj","útulek pro zájmová zvířata","pes 25, kočka 10","48°48'31.767""N,14°20'7.303""E","11.12.2017"
"CZ 21E01301","ForDogs z.s.","k.ú. Svárov, parc. č. 88/65, 273 51 Svárov","Středočeský kraj","útulek pro zájmová zvířata","pes 20","","26.11.2025"
"CZ 21E01266","Domov Kulíšek z.s.","Bukov č. p. 24, 27004 Hořovičky","Středočeský kraj","útulek pro zájmová zvířata","kočka 80","50°8'30.964""N,13°30'4.602""E","10.10.2025"
"CZ 21E01187","Srdečné tlapky z.s.","Tuřice č. p. 39, 29474 Tuřice","Středočeský kraj","útulek pro zájmová zvířata","pes 40","50°14'57.216""N,14°46'8.953""E","23.09.2025"
"CZ 21E01042","Strašecké depozitum pro kočky z.s.","Nové Strašecí č. ev. 256, 27101 Nové Strašecí","Středočeský kraj","útulek pro zájmová zvířata","kočka 60","50°9'21.586""N,13°52'45.775""E","11.04.2025"
"CZ 21E00850","Destiny Pet ""Zrzečkovo""","Českobrodská 109, Žernovka, 25162 Mukařov","Středočeský kraj","útulek pro zájmová zvířata","králíci a hlodavci 20, kočka 80, ptáci 20, fretka 5, pes 5","50°0'5.097""N,14°45'32.542""E","15.11.2024"
"CZ 21E00760","Kralupské kočky z.s.","sídl. Hůrka 1061, 27801 Kralupy nad Vltavou","Středočeský kraj","útulek pro zájmová zvířata","kočka 30","50°14'20.407""N,14°18'22.355""E","27.03.2024"
"CZ 21E00737","Záchranná Stanice Papouščí ráj, z.s.","Dolní ul., parc. č. 5/5, 252 42 Jesenice-Osnice","Středočeský kraj","útulek pro zájmová zvířata","ptáci 500","49°58'9.680""N,14°33'10.718""E","29.02.2024"
"CZ 21E00681","Vlasta Kazdová","Hrabanov 535/6, 28922 Lysá nad Labem","Středočeský kraj","útulek pro zájmová zvířata","pes 40, kočka 8","50°12'42.214""N,14°49'50.736""E","12.01.2024"
"CZ 21E00636","Kočičí a psí azyl, z.s.","Chaloupky č. p. 140, 26762 Chaloupky","Středočeský kraj","útulek pro zájmová zvířata","pes 20, kočka 20","49°47'40.203""N,13°51'53.830""E","08.12.2023"
"CZ 21E00456","Útulek Statek u Merlina","Malá Strana 84, 26707 Chyňava","Středočeský kraj","útulek pro zájmová zvířata, útulek pro hospodářská zvířata","ovce a kozy 20, skot 2, fretka 10, plazi 5, jiné 50, koně 2, ptáci 10, prasata 5, králíci a hlodavci 40","50°1'38.734""N,14°4'34.415""E","22.02.2023"
"CZ 21E00412","Cool Critters","Kadlín č. p. 21, 27735 Kadlín","Středočeský kraj","útulek pro zájmová zvířata","kočka 25, pes 18","50°23'54.636""N,14°41'56.714""E","30.12.2022"
"CZ 21E00131","PINTA - DRUHÁ ŠANCE, spolek pro opuštěná a týraná zvířata","Chotilsko, 26203 Chotilsko","Středočeský kraj","útulek pro zájmová zvířata, útulek pro hospodářská zvířata","skot 2, ovce a kozy 10, koně 20, kočka 40, ptáci 30","49°45'50.004""N,14°20'56.472""E","18.02.2022"
"CZ 21E00074","FeliSter z.s.","Radim č. p. 194, 28103 Radim","Středočeský kraj","útulek pro zájmová zvířata","kočka 25","50°4'13.461""N,15°0'58.213""E","03.11.2021"
"CZ 21E00030","Zvíře v tísni, z.s.","Hradové Střimelice č. ev. 617, 28163 Stříbrná Skalice","Středočeský kraj","útulek pro zájmová zvířata, útulek pro hospodářská zvířata","kočka 20, prasata 2, fretka 1, ovce a kozy 4, králíci a hlodavci 4, pes 10","49°53'25.991""N,14°50'19.010""E","13.10.2021"
"CZ 21C09847","Poděbradský psí útulek Haryk","pozemky p.č. 3587, 3593, 3596/2, k.ú. Poděbrady","Středočeský kraj","útulek pro zájmová zvířata","pes 24","50°8'30.974""N,15°8'15.269""E","27.04.2021"
"CZ 21C09779","DogPlanet, z.s.","Řípská bez č.p., 27601 Mělník","Středočeský kraj","útulek pro zájmová zvířata","pes 40, kočka 50, králíci a hlodavci 5","50°21'31.844""N,14°28'48.337""E","18.02.2021"
"CZ 21C09702","Útulek MB z.s.","Březno č. p. 58, 29406 Březno","Středočeský kraj","útulek pro zájmová zvířata","kočka 30, pes 19","50°24'9.603""N,15°2'29.332""E","11.12.2020"
"CZ 21C09601","Fretky Boleslav, z.s.","Trnová č. p. 15, 29425 Katusice","Středočeský kraj","útulek pro zájmová zvířata","pes 1, fretka 100, kočka 10","50°26'56.300""N,14°43'7.853""E","12.11.2020"
"CZ 21C09577","Best Friends","Babice u Řehenic, Řehenice","Středočeský kraj","útulek pro zájmová zvířata, útulek pro hospodářská zvířata","králíci a hlodavci 10, kočka 10, jiné 100, skot 10, fretka 10, ovce a kozy 30, koně 10, pes 40, prasata 10","49°52'9.318""N,14°36'15.337""E","01.10.2020"
"CZ 21C09274","Kočičí štěstí, z.s.","Osiková 287, 25064 Měšice","Středočeský kraj","útulek pro zájmová zvířata","kočka 80","50°12'11.511""N,14°31'6.577""E","26.03.2020"
"CZ 21C09263","Kočičiny, z.s. depozitum","Pod Hvězdárnou 543, Příbram II, 26101 Příbram","Středočeský kraj","útulek pro zájmová zvířata","kočka 10","49°41'37.276""N,14°1'24.851""E","26.03.2020"
"CZ 21C09241","Felis Silvestris, z.s.","Lipová 571, 25301 Hostivice","Středočeský kraj","útulek pro zájmová zvířata","kočka 35","50°4'28.187""N,14°15'35.427""E","11.03.2020"
"CZ 21C09230","Psí senioři v nouzi, z.s.","Chrást č. p. 204, 28914 Chrást","Středočeský kraj","útulek pro zájmová zvířata","pes 20","50°7'4.424""N,14°54'7.773""E","11.03.2020"
"CZ 21C09218","Zvířátkov z.s.","Olešná č. p. 175, 26764 Olešná","Středočeský kraj","útulek pro hospodářská zvířata","jiné 2, ovce a kozy 16, koně 8","49°46'54.699""N,13°48'31.954""E","10.03.2020"
"CZ 21C08970","Příbramské kočky, z.s.","Brodská 99, Příbram VIII, 26101 Příbram","Středočeský kraj","útulek pro zájmová zvířata","kočka 56","49°40'8.225""N,13°59'53.131""E","24.09.2019"
"CZ 21C08464","CATKY, z.s.","Na Hrázi 681/37, Poděbrady III, 29001 Poděbrady","Středočeský kraj","útulek pro zájmová zvířata","kočka 50","50°8'34.745""N,15°7'58.727""E","21.02.2018"
"CZ 21C08453","Fretčí útulek Klubko","Pražská 145, 25229 Lety","Středočeský kraj","útulek pro zájmová zvířata","fretka 5","49°55'30.725""N,14°15'54.307""E","19.02.2018"
"CZ 21C08420","Azyl Pídička","Na Kopánku 52, 25163 Kunice","Středočeský kraj","útulek pro zájmová zvířata","pes 10","49°56'12.606""N,14°40'5.133""E","25.01.2018"
"CZ 21C08385","Pes nejvěrnější přítel, z.s.","U Strouhy 529, 25250 Vestec","Středočeský kraj","útulek pro zájmová zvířata","pes 100","49°59'7.415""N,14°29'47.316""E","09.01.2018"
"CZ 21C08374","Zachraň kočku z.s.","Jílové u Prahy č. p. 304, 25401 Jílové u Prahy","Středočeský kraj","útulek pro zájmová zvířata","pes 3, kočka 60","49°53'38.545""N,14°29'5.927""E","04.01.2018"
"CZ 21C08352","Cat World z.s.","Na Bulánce 291, 28002 Ovčáry","Středočeský kraj","útulek pro zájmová zvířata","kočka 50","50°3'44.690""N,15°14'15.068""E","04.01.2018"
"CZ 21C08318","Kočičí dům Kocour Felix","Dolní Kasárna 948, 25067 Klecany","Středočeský kraj","útulek pro zájmová zvířata","pes 2, kočka 200, králíci a hlodavci 5","50°10'45.841""N,14°24'19.358""E","04.01.2018"
"CZ 21C08295","Azyl Tylda z.s.","Drahlovice č. p. 49, 26727 Skuhrov","Středočeský kraj","útulek pro zájmová zvířata","kočka 20, pes 18","49°52'4.229""N,14°8'34.142""E","22.12.2017"
"CZ 21C08284","Spolek pro kočku","Legionářů 345, Příbram VII, 26101 Příbram","Středočeský kraj","útulek pro zájmová zvířata","kočka 8","49°40'40.397""N,14°0'4.264""E","22.12.2017"
"CZ 21C08273","Psí útulek Dobříš","V Lipkách 1021, 26301 Dobříš","Středočeský kraj","útulek pro zájmová zvířata","pes 7","49°46'36.522""N,14°10'29.874""E","22.12.2017"
"CZ 21C08239","Kočičí oči Kolín, z.s.","Moravcova 853, Kolín II, 28002 Kolín","Středočeský kraj","útulek pro zájmová zvířata","kočka 13","50°1'25.989""N,15°11'5.806""E","11.12.2017"
"CZ 21C08228","Tlapky Mochov  z.s.","Dr. Nejedlého 279, 25087 Mochov","Středočeský kraj","útulek pro zájmová zvířata","kočka 70","50°8'26.070""N,14°47'36.876""E","11.12.2017"
"CZ 21C08194","Azyl naděje - Hospic pro opuštěné a problémové psy, o.p.s.","Slepá 234, 27308 Pchery","Středočeský kraj","útulek pro zájmová zvířata","pes 40, kočka 10","50°11'10.083""N,14°8'16.122""E","30.11.2017"
"CZ 21C08183","Devět životů, o.p.s.","Hospozín č. p. 172, 27322 Hospozín","Středočeský kraj","útulek pro zájmová zvířata","kočka 40","50°18'28.735""N,14°10'23.448""E","30.11.2017"
"CZ 21C08172","Spolek na ochranu zvířat Dobříšsko, z.s.","Part. Svobody 256, 26301 Dobříš","Středočeský kraj","útulek pro zájmová zvířata","kočka 20","49°47'7.863""N,14°10'17.097""E","30.11.2017"
"CZ 21C08161","Šarpej v nouzi, z.s.","Modřejovice č. p. 63, 27041 Slabce","Středočeský kraj","útulek pro zájmová zvířata","pes 50","49°59'50.712""N,13°41'21.110""E","30.11.2017"
